MOVIE NAME, YEAR, MALE SINGER COUNT, FEMALE SINGER COUNT, MALE SONG COUNT, FEMALE SONG COUNT,total,male_percent,female_percent,difference,bias
Daraar_1987,1987,4,3,8,8,7,57.14285714285714,42.857142857142854,14.285714285714285,bias
Laila (1984 film)_1984,1984,2,1,4,4,3,66.66666666666666,33.33333333333333,33.33333333333333,bias
Hero Hiralal_1988,1988,1,2,2,4,3,33.33333333333333,66.66666666666666,-33.33333333333333,bias
Insaaf Ka Tarazu_1980,1980,1,2,3,4,3,33.33333333333333,66.66666666666666,-33.33333333333333,bias
Student Of The Year_2012,2012,4,4,6,4,8,50.0,50.0,0.0,non bias
Rascals (2011 film)_2011,2011,3,2,6,4,5,60.0,40.0,20.0,bias
Kanoon Apna Apna_1988,1988,1,3,1,5,4,25.0,75.0,-50.0,bias
Gori Tere Pyaar Mein_2013,2013,4,6,7,14,10,40.0,60.0,-20.0,bias
Kaabil_2017,2017,3,1,6,1,4,75.0,25.0,50.0,bias
Matru Ki Bijlee Ka Mandola_2013,2013,8,1,11,2,9,88.88888888888889,11.11111111111111,77.77777777777777,bias
Prem Kaa Game_2010,2010,4,2,6,4,6,66.66666666666666,33.33333333333333,33.33333333333333,bias
Do Ustad_1982,1982,0,3,0,9,3,0.0,100.0,-100.0,bias
Dillagi (1999 film)_1999,1999,11,6,16,9,17,64.70588235294117,35.294117647058826,29.411764705882348,bias
Mr Bond_1992,1992,1,2,1,9,3,33.33333333333333,66.66666666666666,-33.33333333333333,bias
All The Best: Fun Begins_2009,2009,6,1,8,2,7,85.71428571428571,14.285714285714285,71.42857142857142,bias
Anand (1971 film)_1971,1971,4,1,4,2,5,80.0,20.0,60.0,bias
Vijaypath_1994,1994,2,3,5,5,5,40.0,60.0,-20.0,bias
Veeru Dada_1990,1990,1,3,2,3,4,25.0,75.0,-50.0,bias
Hum Aapke Dil Mein Rehte Hain_1999,1999,6,3,9,5,9,66.66666666666666,33.33333333333333,33.33333333333333,bias
Daulat (1982 film)_1982,1982,0,0,0,0,0,,,,bias
Karle Pyaar Karle_2014,2014,5,2,6,3,7,71.42857142857143,28.57142857142857,42.85714285714286,bias
Manzilein Aur Bhi Hain_1974,1974,0,1,0,2,1,0.0,100.0,-100.0,bias
